"","n","gamma","s","ntree","time","MSE"
"196",10000,0.6,11,500,10.5653422832489,235.491642011071
"197",10000,0.6,13,500,10.7602443695068,234.182281829156
"198",10000,0.6,15,500,10.9329326629639,234.872124917201
"199",10000,0.6,17,500,11.1180332660675,235.173729900573
"200",10000,0.6,19,500,11.2895375728607,234.009666942207
"201",10000,0.7,1,50,2.44788408279419,208.153955789069
"202",10000,0.7,3,50,2.85436301231384,174.993471264817
"203",10000,0.7,5,50,3.06841259002686,168.89019273321
"204",10000,0.7,7,50,3.22959170341492,170.828129312455
"205",10000,0.7,9,50,3.40335340499878,169.823675828739
"206",10000,0.7,11,50,3.57850217819214,168.714077209883
"207",10000,0.7,13,50,3.75749263763428,170.171783737278
"208",10000,0.7,15,50,3.93160433769226,169.507951395413
"209",10000,0.7,17,50,4.11465272903442,168.582662249234
"210",10000,0.7,19,50,4.28297300338745,167.672968659713
"211",10000,0.7,1,100,4.87637057304382,201.428442491528
"212",10000,0.7,3,100,5.38185501098633,172.820928332846
"213",10000,0.7,5,100,5.61490998268127,169.893016546878
"214",10000,0.7,7,100,5.79387669563293,169.172654185376
"215",10000,0.7,9,100,5.9751660823822,169.424263268556
"216",10000,0.7,11,100,6.17471084594727,167.713716208743
"217",10000,0.7,13,100,6.37958607673645,168.935568574086
"218",10000,0.7,15,100,6.58787126541138,168.289560644195
"219",10000,0.7,17,100,6.81345329284668,168.574896239285
"220",10000,0.7,19,100,7.00570302009583,167.091569299484
"221",10000,0.7,1,150,7.29449319839478,191.015289724688
"222",10000,0.7,3,150,7.88686280250549,174.945206051925
"223",10000,0.7,5,150,8.18167786598206,167.806970731534
"224",10000,0.7,7,150,8.42391686439514,168.197422295463
"225",10000,0.7,9,150,8.65402708053589,167.713229240667
"226",10000,0.7,11,150,8.93265047073364,168.407304251232
"227",10000,0.7,13,150,9.17267823219299,168.81818606406
"228",10000,0.7,15,150,9.42773509025574,167.899816117688
"229",10000,0.7,17,150,9.67244834899902,168.265415068608
"230",10000,0.7,19,150,9.87744078636169,168.238871945465
"231",10000,0.7,1,200,9.76991467475891,183.176000888093
"232",10000,0.7,3,200,10.418262720108,172.455185573728
"233",10000,0.7,5,200,10.7763501644135,167.929442757584
"234",10000,0.7,7,200,11.0689007282257,167.901558621614
"235",10000,0.7,9,200,11.3710165023804,168.104115484796
"236",10000,0.7,11,200,11.7465143680573,168.761446191303
"237",10000,0.7,13,200,12.0312893867493,168.59268661407
"238",10000,0.7,15,200,12.3149690628052,168.745286812698
"239",10000,0.7,17,200,12.6396140575409,167.724878340666
"240",10000,0.7,19,200,12.9426728725433,166.696413340875
"241",10000,0.7,1,250,12.1984990596771,192.962731162753
"242",10000,0.7,3,250,12.9954144001007,174.713940258148
"243",10000,0.7,5,250,13.4323650360107,168.213966236196
"244",10000,0.7,7,250,13.7801231384277,168.612159887012
"245",10000,0.7,9,250,14.1534852981567,167.430562080288
"246",10000,0.7,11,250,14.5208242416382,168.510617290624
"247",10000,0.7,13,250,14.8965315818787,168.922745958587
"248",10000,0.7,15,250,15.2534707546234,168.766151771147
"249",10000,0.7,17,250,15.6200290679932,167.769027058339
"250",10000,0.7,19,250,16.0230937004089,166.378866250059
"251",10000,0.7,1,300,14.5848452568054,191.202419627819
"252",10000,0.7,3,300,15.5883224487305,174.575243382729
"253",10000,0.7,5,300,16.075715637207,167.270255240386
"254",10000,0.7,7,300,16.4650392055511,168.254236456438
"255",10000,0.7,9,300,16.9009320259094,167.481117540529
"256",10000,0.7,11,300,17.4264377593994,167.592197787798
"257",10000,0.7,13,300,17.9124628067017,168.528081992828
"258",10000,0.7,15,300,18.3378704547882,168.398431411791
"259",10000,0.7,17,300,18.8077220916748,167.796198511522
"260",10000,0.7,19,300,19.2861433029175,167.294705256373
"261",10000,0.7,1,350,16.9849734306335,185.964380761312
"262",10000,0.7,3,350,18.1764818668365,173.854381561561
"263",10000,0.7,5,350,18.8044276714325,167.706926670597
"264",10000,0.7,7,350,19.3579670906067,168.239142986635
"265",10000,0.7,9,350,19.9031238079071,167.406735713784
"266",10000,0.7,11,350,20.4434245109558,168.201491988322
"267",10000,0.7,13,350,20.9791481018066,168.237595043732
"268",10000,0.7,15,350,21.5067510604858,168.751965123048
"269",10000,0.7,17,350,22.1085355758667,167.969280983981
"270",10000,0.7,19,350,22.6459967136383,166.92406122065
"271",10000,0.7,1,400,19.4320001602173,192.335571012088
"272",10000,0.7,3,400,20.8515803813934,173.488172057475
"273",10000,0.7,5,400,21.6144695281982,167.076477588074
"274",10000,0.7,7,400,22.3352395057678,168.120470427658
"275",10000,0.7,9,400,23.0549387454987,167.741442898693
"276",10000,0.7,11,400,23.7321382045746,168.413022637629
"277",10000,0.7,13,400,24.4423614025116,168.739980270419
"278",10000,0.7,15,400,25.1115707397461,168.816789389632
"279",10000,0.7,17,400,25.6494758605957,168.268185935753
"280",10000,0.7,19,400,26.1934975624084,167.385210949692
"281",10000,0.7,1,450,21.859202337265,195.090871277588
"282",10000,0.7,3,450,23.5768485069275,172.781664847554
"283",10000,0.7,5,450,24.5302915096283,167.531952740221
"284",10000,0.7,7,450,25.3326953411102,167.927031263351
"285",10000,0.7,9,450,26.1635726451874,167.5876338599
"286",10000,0.7,11,450,26.9333558559418,168.739465502889
"287",10000,0.7,13,450,27.7461964607239,168.529059680892
"288",10000,0.7,15,450,28.5399133205414,168.199945818466
"289",10000,0.7,17,450,29.3722949981689,168.170609595827
"290",10000,0.7,19,450,30.0070143699646,167.257028075564
"291",10000,0.7,1,500,24.2745318889618,196.48444199756
"292",10000,0.7,3,500,26.282803440094,172.667883219823
"293",10000,0.7,5,500,27.4609591007233,166.785598334872
"294",10000,0.7,7,500,28.4186960697174,167.241273459688
"295",10000,0.7,9,500,29.2258974552155,167.696735356248
"296",10000,0.7,11,500,30.040274477005,168.354770737717
"297",10000,0.7,13,500,30.8993001937866,168.364100661
"298",10000,0.7,15,500,31.7829719543457,168.336995493702
"299",10000,0.7,17,500,32.7452583312988,167.923478568504
"300",10000,0.7,19,500,33.6566718101501,166.796706202281
