"","yhat","se","yexp","diff","rf_result","real_y_rf"
"246",523.312703244498,0.390944954710893,524.659054806301,1.34635156180298,521.415066636059,521.237423398446
"248",521.356016023711,0.204669362067468,520.651928558376,-0.704087465335078,513.71518449472,513.507513323074
"249",524.682009279258,0.300436210506942,526.826476980944,2.14446770168524,516.842716171156,517.008535633046
"250",518.456704625616,0.287731063406776,517.405401591728,-1.05130303388853,515.355232556124,510.250830245023
"252",522.919490973313,0.207405630878342,524.512858206035,1.59336723272202,524.517682049691,524.659054806301
"253",516.894269644802,0.25462418293531,516.318078253329,-0.576191391472321,520.387462346588,520.85085320374
"254",518.806909261891,0.269188236300919,516.442411507957,-2.3644977539343,525.704034491575,524.946297811702
"258",513.671874187716,0.277837443630608,511.988554169163,-1.68332001855231,524.186556716035,524.512858206035
"260",520.845898342053,0.224984376520417,522.334893295157,1.48899495310377,516.012898019988,516.318078253329
"261",525.701324073004,0.147521712496423,524.908200370833,-0.793123702171101,517.133926639304,516.442411507957
"263",523.55165466993,0.413074474296381,525.456794747698,1.90514007776812,529.346354406179,530.804300766993
"265",515.969312377536,0.346735204983778,511.60356133911,-4.36575103842625,525.715884700203,525.671774316267
"268",518.368411328329,0.269432145406426,519.104916834718,0.736505506388767,520.362064063143,519.861415076097
"271",520.212088506989,0.283255002194905,522.26035117828,2.04826267129135,527.670520874645,528.554954845868
"272",519.333415933164,0.401881042969124,518.23489509068,-1.09852084248405,517.98090035313,519.104916834718
"274",519.144747133621,0.248176105240118,519.752390654333,0.607643520711918,515.653647940059,515.646281527406
"275",521.843997825716,0.236065475142153,521.567162544345,-0.276835281371632,520.112034733673,519.882373853527
"276",528.238361104388,0.32110932182378,531.511367488794,3.27300638440613,530.298908551259,531.511367488794
"283",520.022605738063,0.389955356372308,519.065553440241,-0.957052297821747,519.689394645484,520.091676371046
"287",520.024491231643,0.291159414486657,521.302398188403,1.27790695676026,516.992049057208,516.204171053135
"289",512.990446117679,0.342420311347031,506.27872083584,-6.7117252818382,525.247396154812,524.79428660464
"290",520.906573127578,0.137311105107739,523.232839956218,2.32626682864009,522.774204596141,521.766310102809
"291",522.744277338256,0.2724346387952,525.585026928195,2.84074958993938,519.448721031018,519.065553440241
"292",515.731762343878,0.27817474977583,513.814982785672,-1.91677955820626,523.719749751869,526.110489905257
"293",523.765941373916,0.308019047699985,525.037689604546,1.27174823063035,520.156172675694,521.302398188403
"294",518.594014018787,0.213705263470392,519.031258307879,0.437244289091723,521.788557196895,523.232839956218
